,precision,recall,f1-score,support
admiration,0.7813,0.8086,0.7947,486.0000
amusement,0.7878,0.8974,0.8390,302.0000
anger,0.5830,0.6667,0.6220,195.0000
annoyance,0.3929,0.6192,0.4807,302.0000
approval,0.4210,0.5985,0.4943,396.0000
caring,0.6467,0.7059,0.6750,153.0000
confusion,0.6190,0.5132,0.5612,152.0000
curiosity,0.5409,0.7490,0.6282,247.0000
desire,0.7869,0.6234,0.6957,77.0000
disappointment,0.4396,0.5583,0.4919,163.0000
disapproval,0.5704,0.5411,0.5554,292.0000
disgust,0.5455,0.6804,0.6055,97.0000
embarrassment,0.7500,0.6176,0.6774,34.0000
excitement,0.5000,0.4583,0.4783,96.0000
fear,0.8132,0.8222,0.8177,90.0000
gratitude,0.9464,0.8908,0.9177,357.0000
grief,0.9000,0.6923,0.7826,13.0000
joy,0.6244,0.7193,0.6685,171.0000
love,0.7574,0.9167,0.8294,252.0000
nervousness,0.4500,0.8571,0.5902,21.0000
optimism,0.7000,0.6699,0.6846,209.0000
pride,0.9286,0.8667,0.8966,15.0000
realization,0.3522,0.4409,0.3916,127.0000
relief,0.6316,0.6667,0.6486,18.0000
remorse,0.7792,0.8824,0.8276,68.0000
sadness,0.7154,0.6154,0.6617,143.0000
surprise,0.6131,0.7984,0.6936,129.0000
neutral,0.6645,0.7735,0.7149,1757.0000
micro avg,0.6321,0.7263,0.6760,6362.0000
macro avg,0.6515,0.7018,0.6687,6362.0000
weighted avg,0.6471,0.7263,0.6807,6362.0000
samples avg,0.6643,0.7487,0.6821,6362.0000
