Class,Precision,Recall,F1-Score,Class_Accuracy,Threshold,Avg_Confidence_Positive,Support
** OVERALL (MACRO) **,0.6948666253421162,0.7038688930838728,0.6939419954279217,-,-,-,-
** OVERALL (MICRO) **,-,-,0.6961678155807576,-,-,-,-
** OVERALL (SUBSET ACC) **,-,-,-,0.5009245562130178,-,-,-
admiration,0.8037190082644629,0.8004115226337448,0.8020618556701031,0.9644970414201184,0.6500000000000001,0.8433049917221069,486
amusement,0.7759103641456583,0.9172185430463576,0.8406676783004552,0.9805843195266272,0.7000000000000002,0.8848020434379578,302
anger,0.6349206349206349,0.6153846153846154,0.625,0.9733727810650887,0.6200000000000001,0.7893677353858948,195
annoyance,0.384928716904277,0.6258278145695364,0.4766708701134931,0.9232618343195266,0.37000000000000005,0.5070438385009766,302
approval,0.4732142857142857,0.5353535353535354,0.5023696682464455,0.9223372781065089,0.39000000000000007,0.5666550993919373,396
caring,0.7013888888888888,0.6601307189542484,0.6801346801346801,0.9824334319526628,0.6800000000000002,0.8245022296905518,153
confusion,0.5984251968503937,0.5,0.5448028673835126,0.9765162721893491,0.6000000000000002,0.7807125449180603,152
curiosity,0.5565217391304348,0.7773279352226721,0.6486486486486487,0.9615384615384616,0.5600000000000002,0.7162348628044128,247
desire,0.746268656716418,0.6493506493506493,0.6944444444444444,0.9918639053254438,0.7500000000000002,0.8650258183479309,77
disappointment,0.5755395683453237,0.49079754601226994,0.5298013245033113,0.9737426035502958,0.5100000000000001,0.6468844413757324,163
disapproval,0.5266106442577031,0.6438356164383562,0.5793528505392912,0.9495192307692307,0.4800000000000001,0.6570733189582825,292
disgust,0.7325581395348837,0.6494845360824743,0.6885245901639344,0.9894600591715976,0.6900000000000002,0.8238123655319214,97
embarrassment,0.7435897435897436,0.8529411764705882,0.7945205479452054,0.9972263313609467,0.6600000000000001,0.865572988986969,34
excitement,0.4661016949152542,0.5729166666666666,0.514018691588785,0.9807692307692307,0.5400000000000001,0.7242128252983093,96
fear,0.926829268292683,0.8444444444444444,0.8837209302325582,0.996301775147929,0.7000000000000002,0.8896262645721436,90
gratitude,0.9484240687679083,0.927170868347339,0.9376770538243626,0.9918639053254438,0.6100000000000001,0.9514180421829224,357
grief,0.8888888888888888,0.6153846153846154,0.7272727272727273,0.9988905325443787,0.8300000000000002,0.9169328212738037,13
joy,0.6875,0.7076023391812866,0.6974063400576369,0.9805843195266272,0.5900000000000002,0.7890560030937195,171
love,0.800711743772242,0.8928571428571429,0.8442776735459663,0.9846523668639053,0.7600000000000002,0.8949480652809143,252
nervousness,0.8235294117647058,0.6666666666666666,0.7368421052631579,0.9981508875739645,0.8300000000000002,0.888834536075592,21
optimism,0.7528735632183908,0.6267942583732058,0.6840731070496083,0.9776257396449705,0.6400000000000001,0.829201877117157,209
pride,1.0,0.8666666666666667,0.9285714285714286,0.9996301775147929,0.8400000000000002,0.9207130074501038,15
realization,0.4108527131782946,0.41732283464566927,0.4140625,0.9722633136094675,0.38000000000000006,0.5552809238433838,127
relief,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.9981508875739645,0.8400000000000002,0.9009047746658325,18
remorse,0.7380952380952381,0.9117647058823529,0.8157894736842105,0.9948224852071006,0.7200000000000002,0.8752520680427551,68
sadness,0.7164179104477612,0.6713286713286714,0.6931407942238267,0.9842825443786982,0.6800000000000002,0.8417507410049438,143
surprise,0.6438356164383562,0.7286821705426356,0.6836363636363636,0.9839127218934911,0.6000000000000002,0.8095607161521912,129
neutral,0.676387582314205,0.8184405236198065,0.7406644347154262,0.8137943786982249,0.32000000000000006,0.5485832691192627,1757
